Group	comparison	test	p.value	p.adj
shYthdf123	m6A status vs DE	chi-squared	1.290050490095123e-6	1.290050490095123e-6
shMettl3	m6A status vs DE	chi-squared	2.2585274483031354e-13	4.517054896606271e-13
