localization	n_genes	mean Half-life, hours	median Half-life, hours
Neurites	1081	5.476845513413506	5.26
Soma	924	4.167824675324676	3.6950000000000003
Cytoplasm	424	3.7008254716981135	3.4000000000000004
Nucleus	308	2.5723214285714286	2.25
Projections	575	5.571086956521739	4.9
